drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
humira,Device use error,729,22.75,0.0,,,False,,False,1,Low — ROR only
jardiance,Fungal infection,2282,22.58,0.0,,,False,,False,1,Low — ROR only
humira,Allergy to vaccine,215,22.29,1.6699999999999998e-221,,,False,,False,1,Low — ROR only
jardiance,Skin wrinkling,159,22.13,2.8800000000000002e-269,,,False,,False,1,Low — ROR only
humira,Vertebral osteophyte,111,22.0,2.92e-114,,,False,,False,1,Low — ROR only
zantac,Physical disability,1090,21.89,0.0,,,False,,False,1,Low — ROR only
humira,Fat tissue increased,130,21.37,2.0700000000000002e-132,,,False,,False,1,Low — ROR only
humira,Bone operation,95,20.65,7.41e-96,,,False,,False,1,Low — ROR only
humira,Haemorrhagic stroke,107,20.6,8.78e-108,,,False,,False,1,Low — ROR only
zantac,Rectal cancer,663,20.49,0.0,,,False,,False,1,Low — ROR only
jardiance,Compartment syndrome,47,20.43,1.15e-76,,,False,,False,1,Low — ROR only
zantac,Endometrial cancer,478,20.22,1.2399999999999999e-228,,,False,,False,1,Low — ROR only
zantac,Tonsil cancer,476,20.14,1.81e-227,,,False,,False,1,Low — ROR only
zantac,Hepatic cancer metastatic,192,19.55,6.25e-92,,,False,,False,1,Low — ROR only
humira,Heart valve replacement,127,19.45,3.1600000000000004e-125,,,False,,False,1,Low — ROR only
humira,Ammonia increased,94,19.2,1.91e-92,,,False,,False,1,Low — ROR only
humira,Orthopaedic procedure,71,19.14,6.33e-70,,,False,,False,1,Low — ROR only
humira,Gastric neoplasm,78,18.77,3.27e-76,,,False,,False,1,Low — ROR only
humira,Surgical failure,693,18.54,0.0,,,False,,False,1,Low — ROR only
humira,Contrast media allergy,531,18.17,0.0,,,False,,False,1,Low — ROR only
humira,Retinal oedema,99,18.03,4.4299999999999994e-95,,,False,,False,1,Low — ROR only
jardiance,Aortic thrombosis,32,17.81,1.2399999999999999e-48,,,False,,False,1,Low — ROR only
humira,Cervical radiculopathy,139,17.68,3.85e-132,,,False,,False,1,Low — ROR only
humira,Skull fracture,95,17.3,8.089999999999999e-90,,,False,,False,1,Low — ROR only
humira,Impaired self-care,503,17.3,0.0,,,False,,False,1,Low — ROR only
humira,Rehabilitation therapy,612,17.19,0.0,,,False,,False,1,Low — ROR only
jardiance,Enthesopathy,92,17.07,3.2e-136,,,False,,False,1,Low — ROR only
jardiance,Genital pain,38,17.05,2.25e-56,,,False,,False,1,Low — ROR only
humira,Injection site indentation,343,17.0,0.0,,,False,,False,1,Low — ROR only
